Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
Loop Health,Undisclosed,2000000,2021,Elevation,Healthcare and Wellness,Pune
Rupifi,Debt Financing,2500000,2021,Alteria Capital,Professional Services,Bangalore
RENEE Cosmetics,Pre-Series A,7462445,2021,Equanimity Ventures,Healthcare and Wellness,Ahmedabad
Svish,Seed Round,955981,2021,Nueva,E-Commerce and Retail,Gurugram
Progcap,Series C,79903750,2021,Tiger Global,Finance and FinTech,New Delhi
Smartstaff,Undisclosed,2000000,2021,Blume Ventures,Technology,Bangalore
D’Moksha Homes,Seed Round,955981,2021,Apoorva Sharma,Industrial and Manufacturing,Mumbai
ANS Commerce,Pre-Series A,11262932,2021,Gokul Rajaram,E-Commerce and Retail,Gurugram
Mobileware Technologies,Undisclosed,2000000,2021,Kvanto Payment Services,Professional Services,Mumbai
GramCover,Series A,5032439,2021,Siana Capital,Finance and FinTech,Noida
BYJU'S,Undisclosed,2000000,2021,Oxshott Capital Partners,Education,Bangalore
Hyperface,Undisclosed,2000000,2021,Kunal Shah,Professional Services,Bangalore
Licious,Series G,10325380,2021,Unknown,Agriculture and Food,Bangalore
Chalo,Series C,79903750,2021,Lightrock India,Transportation and Mobility,Mumbai
Kaar Technologies,Undisclosed,2000000,2021,BlackSoil,Professional Services,Chennai
Kissan Pro,Undisclosed,2000000,2021,EKKI,Agriculture and Food,Jharkhand
Sunstone Eduversity,Series B,2500000,2021,WestBridge Capital,Education,Gurugram
Ozonetel,Series A,5032439,2021,Stakeboat Capital,Technology,Hyderabad
CoinSwitch Kuber,Series C,79903750,2021,Coinbase Ventures,Finance and FinTech,Bangalore
Pazcare,Seed Round,955981,2021,BEENEXT,Finance and FinTech,Bangalore
kWh Bikes,Seed Round,955981,2021,Let’s Venture,Transportation and Mobility,Bangalore
IBSFINtech,Pre-Series A,12250186,2021,Unknown,Professional Services,Bangalore
LeadSquared,Undisclosed,2000000,2021,International Finance Corporation,Technology,Bangalore
Phool.co,Undisclosed,2000000,2021,Alia Bhatt,Energy and Environment,Kanpur
Twin Health,Series C,79903750,2021,Sequoia Capital India,Healthcare and Wellness,Chennai
Trica,Seed Round,955981,2021,LetsVenture,Technology,Mumbai
mHealth,Seed Round,955981,2021,India Accelerator,Healthcare and Wellness,New Delhi
Rebel Foods,Series F,6671339,2021,Qatar Investment Authority,Technology,Mumbai
ProfitWheel,Seed Round,955981,2021,Netcore Cloud,Marketing and Advertising,Mumbai
Log 9 Materials,Undisclosed,2000000,2021,Petronas Ventures,Technology,Bangalore
Chingari,Undisclosed,2000000,2021,Solana,Media and Entertainment,Bangalore
Ishitva,Pre-Series A,6671339,2021,Inflection Point Ventures,Technology,Ahmedabad
Ola Electric,Undisclosed,2000000,2021,Falcon Edge,Transportation and Mobility,Bangalore
leap.club,Pre-Series A,6671339,2021,Enzia Ventures,Technology,Gurugram
F5,Pre-Series A,11262932,2021,Auxano Capital,E-Commerce and Retail,New Delhi
ForeignAdmits,Seed Round,955981,2021,Unicorn India Ventures,Education,Bangalore
SALT,Pre-Seed,12250186,2021,Prashant Pansare,Professional Services,Bangalore
EarnWealth,Pre-Series A,12250186,2021,Unknown,Professional Services,Pune
Visit Health,Undisclosed,2000000,2021,Docprime Technologies,Healthcare and Wellness,New Delhi
Crater.Club,Seed Round,955981,2021,LC Nueva AIF,Media and Entertainment,Bangalore
NFTically,Seed Round,955981,2021,Nitish Mittersain,Technology,Gurugram
ReshaMandi,Series A,5032439,2021,9Unicorns,E-Commerce and Retail,Bangalore
Zetwerk,Undisclosed,2000000,2021,TradeCred,Industrial and Manufacturing,Bangalore
Hubilo,Series B,2500000,2021,Alkeon Capital,Technology,Ahmedabad
M2P Fintech,Series C,79903750,2021,Tiger Global,Professional Services,Chennai
Open Financial Technologies,Series C,79903750,2021,Temasek,Professional Services,Bangalore
Niro,Seed Round,955981,2021,Elevar Equity,Professional Services,Bangalore
